		rho
EN-cr-50-70	ES-th-30-50	0.07
EN-cr-50-70	ES-th-50-70	0.08
EN-cr-50-70	ES-th-70-80	0.06
EN-cr-50-70	ES-th-80-90	0.07
EN-cr-50-70	ES-th-90-95	-0.01
EN-cr-50-70	ES-th-95-100	-0.02
EN-cr-50-70	ES-wp-0-5	0.03
EN-cr-50-70	ES-wp-5-10	0.05
EN-cr-50-70	ES-wp-10-20	0.06
EN-cr-50-70	ES-wp-20-30	0.08
EN-cr-50-70	ES-wp-30-50	0.10
EN-cr-50-70	ES-wp-50-70	0.11
EN-cr-50-70	ES-wp-70-80	0.08
EN-cr-50-70	ES-wp-80-90	0.05
EN-cr-50-70	ES-wp-90-95	-0.03
EN-cr-50-70	ES-wp-95-100	-0.01
EN-cr-50-70	ES-np-0-5	-0.01
EN-cr-50-70	ES-np-5-10	0.01
EN-cr-50-70	ES-np-10-20	0.02
EN-cr-50-70	ES-np-20-30	0.02
EN-cr-50-70	ES-np-30-50	0.01
EN-cr-50-70	ES-np-50-70	-0.04
EN-cr-50-70	ES-np-70-80	-0.03
EN-cr-50-70	ES-np-80-90	-0.04
EN-cr-50-70	ES-np-90-95	-0.04
EN-cr-50-70	ES-np-95-100	-0.04
EN-cr-50-70	ES-vo-0-5	-0.06
EN-cr-50-70	ES-vo-5-10	-0.04
EN-cr-50-70	ES-vo-10-20	0.02
EN-cr-50-70	ES-vo-20-30	0.04
EN-cr-50-70	ES-vo-30-50	0.09
EN-cr-50-70	ES-vo-50-70	0.11
EN-cr-50-70	ES-vo-70-80	0.08
EN-cr-50-70	ES-vo-80-90	0.01
EN-cr-50-70	ES-vo-90-95	-0.05
EN-cr-50-70	ES-vo-95-100	-0.02
EN-cr-50-70	ES-le-0-5	0.06
EN-cr-50-70	ES-le-5-10	0.05
EN-cr-50-70	ES-le-10-20	0.07
EN-cr-50-70	ES-le-20-30	0.08
EN-cr-50-70	ES-le-30-50	0.11
EN-cr-50-70	ES-le-50-70	0.13
EN-cr-50-70	ES-le-70-80	0.09
EN-cr-50-70	ES-le-80-90	0.09
EN-cr-50-70	ES-le-90-95	0.08
